#SDSS SN Id	Type	IAUC Name	Right Ascension(hh:mm:ss)	Declination(dd:mm:ss) 	Redshift	Peak MJD	#Obs	Spectrum?
SN5  SNIa  2004hz  2:5:3.00  +0:50:11.9  0.1430  53281.6  7  YES 
SN9  SNII  2004hv  23:48:25.95  +1:3:50.3  0.0610  53277.0  7  YES 
SN10  SNIa  2004hw  23:51:17.34  +1:13:39.4  0.0600  53233.0  9  YES 
SN12  SNII  2004hy  21:6:4.25  +1:12:57.0  0.0580  53270.0  5  YES 
SN15  SNIa  2004hu  1:15:2.44  +0:15:42.9  0.0480  53254.0  10  YES 
SN18  SNII  2004hx  2:41:12.60  -0:52:46.0  0.0140  53275.0  10  YES 
SN19  SNIa  2004id  0:6:29.63  -0:28:22.4  0.1440  53294.7  6  YES 
SN20  SNIb  2004ib  2:40:56.40  -0:10:48.3  0.0560  53290.0  10  YES 
SN24  SNII  2004ht  1:4:48.67  -0:53:45.5  0.0650  53283.0  5  YES 
SN25  SNIa  2004if  22:39:8.53  -0:51:54.7  0.3220  53284.4  2  YES 
SN30  SNIa  2004ia  2:18:2.30  -0:33:32.4  0.1440  53284.7  6  YES 
SN83  SNIa  2004ie  22:1:46.58  +1:14:12.0  0.0510  53295.0  5  YES 
SN111  SNII  2004ic  20:40:48.05  +1:2:34.0  0.0930  53287.0  3  YES 
SN128  SNIa  2004ih  2:15:54.31  +1:4:10.0  0.1540  53303.7  7  YES 
SN133  SNIa  2004ig  0:5:51.79  -0:59:45.1  0.1830  53306.7  5  YES 
SN171  SNIa  2004io  21:23:37.39  -0:28:0.6  0.1500  53319.7  2  YES 
SN172  SNIa  2004ii  0:16:51.80  -0:24:56.9  0.1970  53311.6  2  YES 
SN176  SNIa  2004im  23:43:7.78  -0:7:55.5  0.1400  53318.6  2  YES 
SN191  SNIa  2004il  3:7:2.70  -0:0:40.2  0.1080  53316.9  3  YES 
SN194  SNIa  2004in  1:30:26.06  +0:41:32.4  0.1610  53317.6  3  YES 
SN242  SNIa  2004ik  1:44:55.51  -0:5:58.2  0.1690  53327.8  2  YES 
SN247  SNIa  2004ij  1:21:11.54  -0:55:9.3  0.2180  53323.8  2  YES 
SN691  SNIa?(LC)  ---  21:58:55.06  -0:29:54.7  0.1310  53599.7  10  NO 
SN694  SNIa?(LC)  ---  22:0:37.11  -0:37:24.5  0.1270  53615.6  22  NO 
SN701  SNIa?(LC)  ---  22:18:25.29  +0:47:51.2  0.2060  53586.6  4  YES 
SN703  SNIa?(LC)  ---  22:24:52.30  +0:39:2.6  0.2987  53623.0  5  YES 
SN911  SNIa?(LC)  ---  2:34:45.79  -0:6:56.2  0.2080  53619.5  5  YES 
SN722  SNIa  2005ed  0:2:49.37  +0:45:4.4  0.0870  53608.0  22  YES 
SN739  SNIa  2005ef  0:58:22.88  +0:40:44.6  0.1080  53606.9  11  YES 
SN744  SNIa  2005ei  21:56:47.64  +0:19:3.0  0.1260  53608.5  16  YES 
SN762  SNIa  2005eg  1:2:8.48  -0:52:44.3  0.1910  53622.4  10  YES 
SN774  SNIa  2005ex  1:41:51.23  -0:52:35.0  0.0940  53608.0  16  YES 
